,Gebiet,Total,Jahr
217,Albisrieden,22113,2017
218,Altstetten,32603,2017
219,Kreis 10,40341,2017
220,Höngg,23797,2017
221,Wipkingen,16544,2017
222,Kreis 11,74809,2017
223,Affoltern,26177,2017
224,Oerlikon,22815,2017
225,Seebach,25817,2017
226,Kreis 12,32027,2017
227,Saatlen,8388,2017
228,Schwamendingen-Mitte,11012,2017
229,Hirzenbach,12627,2017
230,Kreis 1,5648,2016
231,Rathaus,3226,2016
232,Hochschulen,640,2016
233,Lindenhof,972,2016
234,City,810,2016
235,Kreis 2,32162,2016
236,Wollishofen,16567,2016
237,Leimbach,6173,2016
238,Enge,9422,2016
239,Kreis 3,49500,2016
240,Alt-Wiedikon,17321,2016
241,Friesenberg,11002,2016
242,Sihlfeld,21177,2016
243,Kreis 4,28630,2016
244,Werd,4594,2016
245,Langstrasse,11145,2016
246,Hard,12891,2016
247,Kreis 5,15423,2016
248,Gewerbeschule,9598,2016
249,Escher Wyss,5825,2016
250,Kreis 6,33270,2016
251,Unterstrass,22476,2016
252,Oberstrass,10794,2016
253,Kreis 7,37139,2016
254,Fluntern,8038,2016
255,Hottingen,11113,2016
256,Hirslanden,7321,2016
257,Witikon,10667,2016
258,Kreis 8,16213,2016
259,Seefeld,5046,2016
260,Mühlebach,6137,2016
261,Weinegg,5030,2016
262,Kreis 9,52898,2016
263,Albisrieden,21174,2016
264,Altstetten,31724,2016
265,Kreis 10,39564,2016
266,Höngg,23423,2016
267,Wipkingen,16141,2016
268,Kreis 11,73413,2016
269,Affoltern,26054,2016
270,Oerlikon,22161,2016
271,Seebach,25198,2016
272,Kreis 12,31822,2016
273,Saatlen,8283,2016
274,Schwamendingen-Mitte,11076,2016
275,Hirzenbach,12463,2016
276,Kreis 1,5617,2015
277,Rathaus,3197,2015
278,Hochschulen,641,2015
279,Lindenhof,974,2015
280,City,805,2015
281,Kreis 2,31603,2015
282,Wollishofen,16244,2015
283,Leimbach,6102,2015
284,Enge,9257,2015
285,Kreis 3,49195,2015
286,Alt-Wiedikon,17158,2015
287,Friesenberg,10698,2015
288,Sihlfeld,21339,2015
289,Kreis 4,28701,2015
290,Werd,4460,2015
291,Langstrasse,11169,2015
292,Hard,13072,2015
293,Kreis 5,15065,2015
294,Gewerbeschule,9608,2015
295,Escher Wyss,5457,2015
296,Kreis 6,32867,2015
297,Unterstrass,22226,2015
298,Oberstrass,10641,2015
299,Kreis 7,37053,2015
300,Fluntern,7953,2015
301,Hottingen,11081,2015
302,Hirslanden,7380,2015
303,Witikon,10639,2015
304,Kreis 8,16192,2015
305,Seefeld,4990,2015
306,Mühlebach,6116,2015
307,Weinegg,5086,2015
308,Kreis 9,51328,2015
309,Albisrieden,19325,2015
310,Altstetten,32003,2015
311,Kreis 10,38199,2015
312,Höngg,22320,2015
313,Wipkingen,15879,2015
314,Kreis 11,72831,2015
315,Affoltern,25874,2015
316,Oerlikon,21966,2015
317,Seebach,24991,2015
318,Kreis 12,31753,2015
319,Saatlen,8508,2015
320,Schwamendingen-Mitte,11315,2015
321,Hirzenbach,11930,2015
322,Kreis 1,5616,2014
323,Rathaus,3236,2014
324,Hochschulen,634,2014
325,Lindenhof,955,2014
326,City,791,2014
327,Kreis 2,31156,2014
328,Wollishofen,16137,2014
329,Leimbach,5936,2014
330,Enge,9083,2014
331,Kreis 3,48808,2014
332,Alt-Wiedikon,16918,2014
333,Friesenberg,10695,2014
334,Sihlfeld,21195,2014
335,Kreis 4,28645,2014
336,Werd,4428,2014
337,Langstrasse,10985,2014
338,Hard,13232,2014
339,Kreis 5,14143,2014
340,Gewerbeschule,9539,2014
341,Escher Wyss,4604,2014
342,Kreis 6,32682,2014
343,Unterstrass,22126,2014
344,Oberstrass,10556,2014
345,Kreis 7,36556,2014
346,Fluntern,7865,2014
347,Hottingen,10882,2014
348,Hirslanden,7403,2014
349,Witikon,10406,2014
350,Kreis 8,16178,2014
351,Seefeld,5035,2014
352,Mühlebach,6107,2014
353,Weinegg,5036,2014
354,Kreis 9,50685,2014
355,Albisrieden,19199,2014
356,Altstetten,31486,2014
357,Kreis 10,37543,2014
358,Höngg,21826,2014
359,Wipkingen,15717,2014
360,Kreis 11,72228,2014
361,Affoltern,25902,2014
362,Oerlikon,21895,2014
363,Seebach,24431,2014
364,Kreis 12,30543,2014
365,Saatlen,7563,2014
366,Schwamendingen-Mitte,11301,2014
367,Hirzenbach,11679,2014
368,Kreis 1,5565,2013
369,Rathaus,3194,2013
370,Hochschulen,665,2013
371,Lindenhof,923,2013
372,City,783,2013
373,Kreis 2,30503,2013
374,Wollishofen,15937,2013
375,Leimbach,5730,2013
376,Enge,8836,2013
377,Kreis 3,48333,2013
378,Alt-Wiedikon,16706,2013
379,Friesenberg,10696,2013
380,Sihlfeld,20931,2013
381,Kreis 4,28115,2013
382,Werd,4188,2013
383,Langstrasse,10686,2013
384,Hard,13241,2013
