,index,Gebiet,Total,Jahr
834,15,Wollishofen,15468,2003
835,16,Leimbach,4830,2003
836,17,Enge,8228,2003
837,18,Kreis 3,45509,2003
838,19,Alt-Wiedikon,14459,2003
839,20,Friesenberg,10387,2003
840,21,Sihlfeld,20663,2003
841,22,Kreis 4,26909,2003
842,23,Werd,3788,2003
843,24,Langstrasse,10304,2003
844,25,Hard,12817,2003
845,26,Kreis 5,12246,2003
846,27,Gewerbeschule,9781,2003
847,28,Escher Wyss,2465,2003
848,29,Kreis 6,29571,2003
849,30,Unterstrass,19882,2003
850,31,Oberstrass,9689,2003
851,32,Kreis 7,33417,2003
852,33,Fluntern,7102,2003
853,34,Hottingen,10017,2003
854,35,Hirslanden,6795,2003
855,36,Witikon,9503,2003
856,37,Kreis 8,15177,2003
857,38,Seefeld,4996,2003
858,39,Mühlebach,5434,2003
859,40,Weinegg,4747,2003
860,41,Kreis 9,45341,2003
861,42,Albisrieden,17018,2003
862,43,Altstetten,28323,2003
863,44,Kreis 10,36286,2003
864,45,Höngg,20810,2003
865,46,Wipkingen,15476,2003
866,47,Kreis 11,57442,2003
867,48,Affoltern,18787,2003
868,49,Oerlikon,19217,2003
869,50,Seebach,19438,2003
870,51,Kreis 12,28404,2003
871,52,Saatlen,6583,2003
872,53,Schwamendingen-Mitte,10389,2003
873,54,Hirzenbach,11432,2003
874,9,Kreis 1,5715,2002
875,10,Rathaus,3128,2002
876,11,Hochschulen,727,2002
877,12,Lindenhof,950,2002
878,13,City,910,2002
879,14,Kreis 2,28731,2002
880,15,Wollishofen,15771,2002
881,16,Leimbach,4681,2002
882,17,Enge,8279,2002
883,18,Kreis 3,45730,2002
884,19,Alt-Wiedikon,14811,2002
885,20,Friesenberg,10188,2002
886,21,Sihlfeld,20731,2002
887,22,Kreis 4,27153,2002
888,23,Werd,3850,2002
889,24,Langstrasse,10447,2002
890,25,Hard,12856,2002
891,26,Kreis 5,12416,2002
892,27,Gewerbeschule,9900,2002
893,28,Escher Wyss,2516,2002
894,29,Kreis 6,29588,2002
895,30,Unterstrass,19863,2002
896,31,Oberstrass,9725,2002
897,32,Kreis 7,33442,2002
898,33,Fluntern,7069,2002
899,34,Hottingen,10021,2002
900,35,Hirslanden,6781,2002
901,36,Witikon,9571,2002
902,37,Kreis 8,15348,2002
903,38,Seefeld,5122,2002
904,39,Mühlebach,5450,2002
905,40,Weinegg,4776,2002
906,41,Kreis 9,45445,2002
907,42,Albisrieden,16669,2002
908,43,Altstetten,28776,2002
909,44,Kreis 10,36065,2002
910,45,Höngg,20570,2002
911,46,Wipkingen,15495,2002
912,47,Kreis 11,56455,2002
913,48,Affoltern,18705,2002
914,49,Oerlikon,18778,2002
915,50,Seebach,18972,2002
916,51,Kreis 12,28470,2002
917,52,Saatlen,6663,2002
918,53,Schwamendingen-Mitte,10373,2002
919,54,Hirzenbach,11434,2002
920,9,Kreis 1,5696,2001
921,10,Rathaus,3103,2001
922,11,Hochschulen,738,2001
923,12,Lindenhof,948,2001
924,13,City,907,2001
925,14,Kreis 2,28698,2001
926,15,Wollishofen,15928,2001
927,16,Leimbach,4668,2001
928,17,Enge,8102,2001
929,18,Kreis 3,45438,2001
930,19,Alt-Wiedikon,14692,2001
931,20,Friesenberg,10042,2001
932,21,Sihlfeld,20704,2001
933,22,Kreis 4,26955,2001
934,23,Werd,3838,2001
935,24,Langstrasse,10276,2001
936,25,Hard,12841,2001
937,26,Kreis 5,11968,2001
938,27,Gewerbeschule,9835,2001
939,28,Escher Wyss,2133,2001
940,29,Kreis 6,29595,2001
941,30,Unterstrass,19831,2001
942,31,Oberstrass,9764,2001
943,32,Kreis 7,33676,2001
944,33,Fluntern,7221,2001
945,34,Hottingen,10096,2001
946,35,Hirslanden,6800,2001
947,36,Witikon,9559,2001
948,37,Kreis 8,15327,2001
949,38,Seefeld,5025,2001
950,39,Mühlebach,5486,2001
951,40,Weinegg,4816,2001
952,41,Kreis 9,45397,2001
953,42,Albisrieden,16614,2001
954,43,Altstetten,28783,2001
955,44,Kreis 10,36155,2001
956,45,Höngg,20588,2001
957,46,Wipkingen,15567,2001
958,47,Kreis 11,55019,2001
959,48,Affoltern,18693,2001
960,49,Oerlikon,18223,2001
961,50,Seebach,18103,2001
962,51,Kreis 12,28118,2001
963,52,Saatlen,6386,2001
964,53,Schwamendingen-Mitte,10430,2001
965,54,Hirzenbach,11302,2001
966,9,Kreis 1,5786,2000
967,10,Rathaus,3109,2000
968,11,Hochschulen,759,2000
969,12,Lindenhof,989,2000
970,13,City,929,2000
971,14,Kreis 2,28935,2000
972,15,Wollishofen,16102,2000
973,16,Leimbach,4644,2000
974,17,Enge,8189,2000
975,18,Kreis 3,45648,2000
976,19,Alt-Wiedikon,14789,2000
977,20,Friesenberg,9972,2000
978,21,Sihlfeld,20887,2000
979,22,Kreis 4,27029,2000
980,23,Werd,3917,2000
981,24,Langstrasse,10237,2000
982,25,Hard,12875,2000
983,26,Kreis 5,11753,2000
984,27,Gewerbeschule,9824,2000
985,28,Escher Wyss,1929,2000
986,29,Kreis 6,29797,2000
987,30,Unterstrass,19933,2000
988,31,Oberstrass,9864,2000
989,32,Kreis 7,33717,2000
990,33,Fluntern,7267,2000
991,34,Hottingen,10147,2000
992,35,Hirslanden,6759,2000
993,36,Witikon,9544,2000
994,37,Kreis 8,15338,2000
995,38,Seefeld,4989,2000
996,39,Mühlebach,5545,2000
997,40,Weinegg,4804,2000
998,41,Kreis 9,44619,2000
999,42,Albisrieden,16445,2000
1000,43,Altstetten,28174,2000
1001,44,Kreis 10,36127,2000
1002,45,Höngg,20423,2000
1003,46,Wipkingen,15704,2000
1004,47,Kreis 11,54133,2000
1005,48,Affoltern,18387,2000
1006,49,Oerlikon,17876,2000
1007,50,Seebach,17870,2000
1008,51,Kreis 12,28098,2000
1009,52,Saatlen,6338,2000
1010,53,Schwamendingen-Mitte,10479,2000
1011,54,Hirzenbach,11281,2000
1012,9,Kreis 1,5872,1999
1013,10,Rathaus,3104,1999
1014,11,Hochschulen,769,1999
1015,12,Lindenhof,1032,1999
1016,13,City,967,1999
1017,14,Kreis 2,28680,1999
1018,15,Wollishofen,15896,1999
1019,16,Leimbach,4650,1999
1020,17,Enge,8134,1999
1021,18,Kreis 3,45899,1999
1022,19,Alt-Wiedikon,14889,1999
1023,20,Friesenberg,10013,1999
1024,21,Sihlfeld,20997,1999
1025,22,Kreis 4,27287,1999
1026,23,Werd,3966,1999
1027,24,Langstrasse,10370,1999
1028,25,Hard,12951,1999
1029,26,Kreis 5,11547,1999
1030,27,Gewerbeschule,9594,1999
1031,28,Escher Wyss,1953,1999
1032,29,Kreis 6,29980,1999
1033,30,Unterstrass,20083,1999
1034,31,Oberstrass,9897,1999
1035,32,Kreis 7,33996,1999
1036,33,Fluntern,7298,1999
1037,34,Hottingen,10307,1999
1038,35,Hirslanden,6837,1999
1039,36,Witikon,9554,1999
1040,37,Kreis 8,15296,1999
1041,38,Seefeld,4969,1999
1042,39,Mühlebach,5527,1999
1043,40,Weinegg,4800,1999
1044,41,Kreis 9,44269,1999
1045,42,Albisrieden,16341,1999
1046,43,Altstetten,27928,1999
1047,44,Kreis 10,36090,1999
1048,45,Höngg,20559,1999
1049,46,Wipkingen,15531,1999
1050,47,Kreis 11,53725,1999
1051,48,Affoltern,18468,1999
1052,49,Oerlikon,17368,1999
1053,50,Seebach,17889,1999
1054,51,Kreis 12,28063,1999
1055,52,Saatlen,6554,1999
1056,53,Schwamendingen-Mitte,10390,1999
1057,54,Hirzenbach,11119,1999
1058,9,Kreis 1,5867,1998
1059,10,Rathaus,3050,1998
1060,11,Hochschulen,792,1998
1061,12,Lindenhof,995,1998
1062,13,City,1030,1998
1063,14,Kreis 2,28595,1998
1064,15,Wollishofen,15826,1998
1065,16,Leimbach,4619,1998
1066,17,Enge,8150,1998
1067,18,Kreis 3,46022,1998
1068,19,Alt-Wiedikon,14975,1998
1069,20,Friesenberg,10029,1998
1070,21,Sihlfeld,21018,1998
1071,22,Kreis 4,27183,1998
1072,23,Werd,3913,1998
1073,24,Langstrasse,10399,1998
1074,25,Hard,12871,1998
1075,26,Kreis 5,11043,1998
1076,27,Gewerbeschule,9464,1998
1077,28,Escher Wyss,1579,1998
1078,29,Kreis 6,30173,1998
1079,30,Unterstrass,20266,1998
1080,31,Oberstrass,9907,1998
1081,32,Kreis 7,33767,1998
1082,33,Fluntern,7272,1998
1083,34,Hottingen,10240,1998
1084,35,Hirslanden,6702,1998
1085,36,Witikon,9553,1998
1086,37,Kreis 8,15364,1998
1087,38,Seefeld,5087,1998
1088,39,Mühlebach,5461,1998
1089,40,Weinegg,4816,1998
1090,41,Kreis 9,44204,1998
1091,42,Albisrieden,16548,1998
1092,43,Altstetten,27656,1998
1093,44,Kreis 10,35697,1998
1094,45,Höngg,20054,1998
1095,46,Wipkingen,15643,1998
1096,47,Kreis 11,53401,1998
1097,48,Affoltern,18469,1998
1098,49,Oerlikon,17026,1998
1099,50,Seebach,17906,1998
1100,51,Kreis 12,27757,1998
1101,52,Saatlen,6568,1998
1102,53,Schwamendingen-Mitte,10174,1998
1103,54,Hirzenbach,11015,1998
1104,9,Kreis 1,5866,1997
1105,10,Rathaus,3083,1997
1106,11,Hochschulen,762,1997
1107,12,Lindenhof,1025,1997
1108,13,City,996,1997
1109,14,Kreis 2,28468,1997
1110,15,Wollishofen,15820,1997
1111,16,Leimbach,4484,1997
1112,17,Enge,8164,1997
1113,18,Kreis 3,46123,1997
1114,19,Alt-Wiedikon,15000,1997
1115,20,Friesenberg,9991,1997
1116,21,Sihlfeld,21132,1997
1117,22,Kreis 4,27292,1997
1118,23,Werd,3928,1997
1119,24,Langstrasse,10480,1997
1120,25,Hard,12884,1997
1121,26,Kreis 5,11147,1997
1122,27,Gewerbeschule,9525,1997
1123,28,Escher Wyss,1622,1997
1124,29,Kreis 6,30275,1997
1125,30,Unterstrass,20281,1997
1126,31,Oberstrass,9994,1997
1127,32,Kreis 7,33753,1997
1128,33,Fluntern,7191,1997
1129,34,Hottingen,10326,1997
1130,35,Hirslanden,6659,1997
1131,36,Witikon,9577,1997
1132,37,Kreis 8,15428,1997
1133,38,Seefeld,5155,1997
1134,39,Mühlebach,5474,1997
1135,40,Weinegg,4799,1997
1136,41,Kreis 9,44293,1997
1137,42,Albisrieden,16630,1997
1138,43,Altstetten,27663,1997
1139,44,Kreis 10,35610,1997
1140,45,Höngg,19793,1997
1141,46,Wipkingen,15817,1997
1142,47,Kreis 11,52661,1997
1143,48,Affoltern,18177,1997
1144,49,Oerlikon,16765,1997
1145,50,Seebach,17719,1997
1146,51,Kreis 12,27678,1997
1147,52,Saatlen,6428,1997
1148,53,Schwamendingen-Mitte,10237,1997
1149,54,Hirzenbach,11013,1997
1150,9,Kreis 1,5856,1996
1151,10,Rathaus,3078,1996
1152,11,Hochschulen,753,1996
1153,12,Lindenhof,1044,1996
1154,13,City,981,1996
1155,14,Kreis 2,28552,1996
1156,15,Wollishofen,15844,1996
1157,16,Leimbach,4553,1996
1158,17,Enge,8155,1996
1159,18,Kreis 3,46095,1996
1160,19,Alt-Wiedikon,14869,1996
1161,20,Friesenberg,9993,1996
1162,21,Sihlfeld,21233,1996
1163,22,Kreis 4,27634,1996
1164,23,Werd,3979,1996
1165,24,Langstrasse,10718,1996
1166,25,Hard,12937,1996
1167,26,Kreis 5,11341,1996
1168,27,Gewerbeschule,9700,1996
1169,28,Escher Wyss,1641,1996
1170,29,Kreis 6,30428,1996
1171,30,Unterstrass,20318,1996
1172,31,Oberstrass,10110,1996
1173,32,Kreis 7,33876,1996
1174,33,Fluntern,7178,1996
1175,34,Hottingen,10348,1996
1176,35,Hirslanden,6703,1996
1177,36,Witikon,9647,1996
1178,37,Kreis 8,15692,1996
1179,38,Seefeld,5226,1996
1180,39,Mühlebach,5566,1996
1181,40,Weinegg,4900,1996
1182,41,Kreis 9,44365,1996
1183,42,Albisrieden,16705,1996
1184,43,Altstetten,27660,1996
1185,44,Kreis 10,35735,1996
1186,45,Höngg,19604,1996
1187,46,Wipkingen,16131,1996
1188,47,Kreis 11,52559,1996
1189,48,Affoltern,18122,1996
1190,49,Oerlikon,16813,1996
1191,50,Seebach,17624,1996
1192,51,Kreis 12,27515,1996
1193,52,Saatlen,6384,1996
1194,53,Schwamendingen-Mitte,10141,1996
1195,54,Hirzenbach,10990,1996
1196,9,Kreis 1,5934,1995
1197,10,Rathaus,3049,1995
1198,11,Hochschulen,782,1995
1199,12,Lindenhof,1096,1995
1200,13,City,1007,1995
1201,14,Kreis 2,28739,1995
1202,15,Wollishofen,15918,1995
1203,16,Leimbach,4647,1995
1204,17,Enge,8174,1995
1205,18,Kreis 3,46327,1995
1206,19,Alt-Wiedikon,14719,1995
1207,20,Friesenberg,10155,1995
1208,21,Sihlfeld,21453,1995
1209,22,Kreis 4,27829,1995
1210,23,Werd,4005,1995
1211,24,Langstrasse,10952,1995
1212,25,Hard,12872,1995
1213,26,Kreis 5,11460,1995
1214,27,Gewerbeschule,9811,1995
1215,28,Escher Wyss,1649,1995
1216,29,Kreis 6,30477,1995
1217,30,Unterstrass,20356,1995
1218,31,Oberstrass,10121,1995
1219,32,Kreis 7,33771,1995
1220,33,Fluntern,7151,1995
1221,34,Hottingen,10234,1995
1222,35,Hirslanden,6654,1995
1223,36,Witikon,9732,1995
1224,37,Kreis 8,15763,1995
1225,38,Seefeld,5281,1995
1226,39,Mühlebach,5611,1995
1227,40,Weinegg,4871,1995
1228,41,Kreis 9,44631,1995
1229,42,Albisrieden,16843,1995
1230,43,Altstetten,27788,1995
1231,44,Kreis 10,35323,1995
1232,45,Höngg,19243,1995
1233,46,Wipkingen,16080,1995
1234,47,Kreis 11,52887,1995
1235,48,Affoltern,18154,1995
1236,49,Oerlikon,17033,1995
1237,50,Seebach,17700,1995
1238,51,Kreis 12,27685,1995
1239,52,Saatlen,6442,1995
1240,53,Schwamendingen-Mitte,10248,1995
1241,54,Hirzenbach,10995,1995
1242,9,Kreis 1,5827,1994
1243,10,Rathaus,3089,1994
1244,11,Hochschulen,806,1994
1245,12,Lindenhof,1087,1994
1246,13,City,845,1994
1247,14,Kreis 2,28622,1994
1248,15,Wollishofen,15902,1994
1249,16,Leimbach,4598,1994
1250,17,Enge,8122,1994
1251,18,Kreis 3,46585,1994
1252,19,Alt-Wiedikon,14803,1994
1253,20,Friesenberg,10213,1994
1254,21,Sihlfeld,21569,1994
1255,22,Kreis 4,28124,1994
1256,23,Werd,4125,1994
1257,24,Langstrasse,11183,1994
1258,25,Hard,12816,1994
1259,26,Kreis 5,11369,1994
1260,27,Gewerbeschule,9773,1994
1261,28,Escher Wyss,1596,1994
1262,29,Kreis 6,30743,1994
1263,30,Unterstrass,20477,1994
1264,31,Oberstrass,10266,1994
1265,32,Kreis 7,33725,1994
1266,33,Fluntern,7085,1994
1267,34,Hottingen,10229,1994
1268,35,Hirslanden,6750,1994
1269,36,Witikon,9661,1994
1270,37,Kreis 8,15798,1994
1271,38,Seefeld,5304,1994
1272,39,Mühlebach,5611,1994
1273,40,Weinegg,4883,1994
1274,41,Kreis 9,44775,1994
1275,42,Albisrieden,17058,1994
1276,43,Altstetten,27717,1994
1277,44,Kreis 10,35241,1994
1278,45,Höngg,19184,1994
1279,46,Wipkingen,16057,1994
1280,47,Kreis 11,52474,1994
1281,48,Affoltern,18061,1994
1282,49,Oerlikon,16771,1994
1283,50,Seebach,17642,1994
1284,51,Kreis 12,27565,1994
1285,52,Saatlen,6430,1994
1286,53,Schwamendingen-Mitte,10240,1994
1287,54,Hirzenbach,10895,1994
1288,9,Kreis 1,5961,1993
1289,10,Rathaus,3133,1993
1290,11,Hochschulen,808,1993
1291,12,Lindenhof,1136,1993
1292,13,City,884,1993
1293,14,Kreis 2,28607,1993
1294,15,Wollishofen,15927,1993
1295,16,Leimbach,4555,1993
1296,17,Enge,8125,1993
1297,18,Kreis 3,46340,1993
1298,19,Alt-Wiedikon,14637,1993
1299,20,Friesenberg,10167,1993
1300,21,Sihlfeld,21536,1993
1301,22,Kreis 4,28300,1993
1302,23,Werd,4048,1993
1303,24,Langstrasse,11505,1993
1304,25,Hard,12747,1993
1305,26,Kreis 5,11495,1993
1306,27,Gewerbeschule,9948,1993
1307,28,Escher Wyss,1547,1993
1308,29,Kreis 6,30579,1993
1309,30,Unterstrass,20425,1993
1310,31,Oberstrass,10154,1993
1311,32,Kreis 7,33788,1993
1312,33,Fluntern,7188,1993
1313,34,Hottingen,10139,1993
1314,35,Hirslanden,6835,1993
1315,36,Witikon,9626,1993
1316,37,Kreis 8,15833,1993
1317,38,Seefeld,5283,1993
1318,39,Mühlebach,5694,1993
1319,40,Weinegg,4856,1993
1320,41,Kreis 9,45003,1993
1321,42,Albisrieden,17132,1993
1322,43,Altstetten,27871,1993
1323,44,Kreis 10,35092,1993
1324,45,Höngg,19118,1993
1325,46,Wipkingen,15974,1993
1326,47,Kreis 11,52419,1993
1327,48,Affoltern,18095,1993
1328,49,Oerlikon,16710,1993
1329,50,Seebach,17614,1993
1330,51,Kreis 12,27481,1993
1331,52,Saatlen,6472,1993
1332,53,Schwamendingen-Mitte,10175,1993
1333,54,Hirzenbach,10834,1993
